id,cpu_score,gpu_score,bottleneck_percent,severity,culprit,created_at
1,52858,34450,7,Balanced,None,2026-03-08 22:31:05.153485+00
2,52858,34450,7,Balanced,None,2026-03-08 22:31:05.845194+00
3,52858,34450,7,Balanced,None,2026-03-08 22:31:12.551553+00
4,52858,34450,7,Balanced,None,2026-03-08 22:31:17.07017+00
5,52858,34450,7,Balanced,None,2026-03-08 22:31:20.591859+00
6,52858,34450,7,Balanced,None,2026-03-08 22:31:23.029879+00
7,63379,34450,13,Mild,GPU,2026-03-08 22:31:58.509551+00
8,62645,34450,12,Mild,GPU,2026-03-08 22:32:10.151411+00
9,63379,38699,0,Balanced,None,2026-03-08 22:44:41.728788+00
10,63379,38699,0,Balanced,None,2026-03-08 22:46:12.154288+00
11,63379,38699,0,Balanced,None,2026-03-08 22:46:12.16216+00
12,12974,38699,95,Severe,CPU,2026-03-08 22:46:37.178169+00
13,63379,38699,0,Balanced,None,2026-03-08 22:47:26.010223+00
14,63379,34450,13,Mild,GPU,2026-03-08 22:47:29.277269+00
15,63379,38699,0,Balanced,None,2026-03-08 22:47:32.234094+00
16,63379,34450,13,Mild,GPU,2026-03-08 22:47:35.620757+00
17,63379,34450,9,Balanced,None,2026-03-08 22:47:39.683684+00
18,62645,34450,12,Mild,GPU,2026-03-08 22:47:50.010696+00
19,63379,34450,13,Mild,GPU,2026-03-08 22:47:55.786101+00
20,19862,16584,15,Mild,CPU,2026-03-08 22:48:42.164088+00
21,19862,16584,11,Mild,CPU,2026-03-08 22:48:54.309416+00
22,19862,16584,11,Mild,CPU,2026-03-08 22:49:10.452949+00
23,56818,16584,55,Severe,GPU,2026-03-08 22:49:34.274936+00
24,52400,16584,47,Moderate,GPU,2026-03-08 22:49:40.534387+00
25,38564,16584,20,Mild,GPU,2026-03-08 22:49:46.505628+00
26,33600,16584,11,Mild,GPU,2026-03-08 22:50:00.191573+00
27,27551,16584,0,Balanced,None,2026-03-08 22:50:07.947164+00
28,27551,16584,0,Balanced,None,2026-03-08 22:50:12.841033+00
29,27551,16584,0,Balanced,None,2026-03-08 22:50:18.097672+00
30,27551,16584,0,Balanced,None,2026-03-08 22:50:34.034781+00
31,63379,38699,0,Balanced,None,2026-03-09 20:26:20.123509+00
32,62645,38699,1,Balanced,None,2026-03-09 20:26:20.837955+00
33,33969,38699,55,Severe,CPU,2026-03-09 20:40:41.465856+00
34,63379,38699,0,Balanced,None,2026-03-09 20:41:07.623264+00
35,62645,38699,1,Balanced,None,2026-03-09 20:41:10.892218+00
36,62645,38699,2,Balanced,None,2026-03-09 20:41:14.809456+00
37,62645,38699,2,Balanced,None,2026-03-09 20:41:17.894251+00
38,62645,38699,1,Balanced,None,2026-03-09 20:42:10.035001+00
39,62645,38699,2,Balanced,None,2026-03-09 20:42:15.623316+00
40,62645,38699,2,Balanced,None,2026-03-09 20:42:19.202429+00
41,62645,38699,2,Balanced,None,2026-03-09 20:42:27.088421+00
42,62645,16584,46,Moderate,GPU,2026-03-09 20:42:35.071948+00
43,19862,16584,15,Mild,CPU,2026-03-09 20:42:51.907035+00
44,34775,16584,13,Mild,GPU,2026-03-09 20:43:11.211103+00
45,38571,16584,20,Mild,GPU,2026-03-09 20:43:18.607911+00
46,38571,16584,14,Mild,GPU,2026-03-09 20:43:23.701896+00
47,38571,16584,14,Mild,GPU,2026-03-09 20:43:26.522198+00
48,38571,16584,14,Mild,GPU,2026-03-09 20:43:30.754789+00
49,19862,16584,15,Mild,CPU,2026-03-09 20:44:30.427924+00
50,19862,16584,10,Mild,CPU,2026-03-09 20:44:36.206704+00
51,19862,16584,10,Mild,CPU,2026-03-09 20:44:48.361898+00
52,62979,38699,1,Balanced,None,2026-03-10 18:19:10.158885+00
53,62979,38699,1,Balanced,None,2026-03-10 18:19:10.904006+00
54,62979,38699,1,Balanced,None,2026-03-10 18:19:13.151746+00
55,18698,5768,16,Mild,GPU,2026-03-10 19:59:14.757916+00
56,18698,5768,11,Mild,GPU,2026-03-10 19:59:25.012519+00
57,18698,5768,11,Mild,GPU,2026-03-10 19:59:33.166824+00
58,34200,19657,3,Balanced,None,2026-03-10 20:53:09.663186+00
59,34200,19657,2,Balanced,None,2026-03-10 20:53:17.292545+00
60,34200,19657,2,Balanced,None,2026-03-10 20:53:21.494079+00
61,34200,19657,2,Balanced,None,2026-03-10 20:53:32.308062+00
62,34200,19657,2,Balanced,None,2026-03-10 20:53:36.261577+00
63,34200,5768,32,Moderate,GPU,2026-03-10 20:53:50.385203+00
64,62979,18224,61,Severe,GPU,2026-03-10 21:56:55.349295+00
65,62979,26553,36,Moderate,GPU,2026-03-10 21:57:18.185436+00
66,62645,38699,1,Balanced,None,2026-03-10 22:07:02.672303+00
67,62645,38699,2,Balanced,None,2026-03-10 22:07:04.944362+00
68,62645,38699,2,Balanced,None,2026-03-10 22:07:07.956554+00
69,62645,34154,12,Mild,GPU,2026-03-10 22:08:09.388166+00
70,62645,34154,9,Balanced,None,2026-03-10 22:08:12.445942+00
71,62645,34154,9,Balanced,None,2026-03-10 22:08:18.150552+00
72,62645,34154,9,Balanced,None,2026-03-10 22:10:01.693942+00
73,62645,26640,35,Moderate,GPU,2026-03-13 15:49:44.125192+00
74,62645,26640,25,Moderate,GPU,2026-03-13 15:49:46.447353+00
75,62645,26640,25,Moderate,GPU,2026-03-13 15:49:50.625609+00
76,62979,33376,15,Mild,GPU,2026-03-19 18:38:20.832292+00
77,62979,33376,11,Mild,GPU,2026-03-19 18:38:21.213898+00
78,62979,33376,11,Mild,GPU,2026-03-19 18:38:22.477159+00
79,62979,38699,1,Balanced,None,2026-04-07 20:55:24.199713+00
80,62979,38699,1,Balanced,None,2026-04-07 20:55:25.665433+00
81,63379,38699,0,Balanced,None,2026-04-07 20:56:28.806173+00
82,62645,34450,12,Mild,GPU,2026-04-07 20:56:54.434287+00
83,62645,34450,8,Balanced,None,2026-04-07 20:57:20.405136+00
84,62645,34450,8,Balanced,None,2026-04-07 20:57:28.697954+00
85,62645,34450,8,Balanced,None,2026-04-07 20:57:34.001931+00
86,62645,34450,9,Balanced,None,2026-04-07 20:57:37.294053+00
87,62645,33376,11,Mild,GPU,2026-04-07 20:57:43.235322+00
88,63379,33376,16,Mild,GPU,2026-04-07 20:57:50.302024+00
89,63379,33376,11,Mild,GPU,2026-04-07 20:58:09.565342+00
90,63379,33376,12,Mild,GPU,2026-04-07 20:58:13.509142+00
91,63379,33376,12,Mild,GPU,2026-04-07 20:58:18.578875+00
92,63379,33376,12,Mild,GPU,2026-04-07 20:58:25.295837+00
93,62645,34450,12,Mild,GPU,2026-04-07 21:00:53.712146+00
94,59582,38699,7,Balanced,None,2026-04-07 21:54:40.831381+00
95,46492,38699,32,Moderate,CPU,2026-04-07 21:55:00.606445+00
96,46492,38699,22,Mild,CPU,2026-04-07 21:55:20.276107+00
97,46492,38699,22,Mild,CPU,2026-04-07 21:55:25.20425+00
98,62979,34450,12,Mild,GPU,2026-04-08 03:29:40.403717+00
99,62645,34450,12,Mild,GPU,2026-04-08 03:29:57.997614+00
100,62645,34450,12,Mild,GPU,2026-04-08 03:30:06.352098+00
101,63379,34450,13,Mild,GPU,2026-04-08 10:11:56.713639+00
102,63379,34450,9,Balanced,None,2026-04-08 10:11:58.437512+00
103,63379,34450,9,Balanced,None,2026-04-08 10:12:00.326834+00
104,63379,19804,40,Moderate,GPU,2026-04-08 10:12:26.422172+00
